,tweet_id,type,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,statement,tweet_coord,tweet_created,tweet_location,user_timezone
0,567900433542488064,negative,Southwest,,ColeyGirouard,,0,i am scheduled for the morning day after the fact yesnot sure why my evening flight wa the only one cancelled flightled,,2015-02-17 20:16:29 -0800,Washington D.C.,Atlantic Time (Canada)
1,569989168903819264,positive,Southwest,,WalterFaddoul,,0,seeing your worker time in and time out going above and beyond is why i love flying with you guy thank you,,2015-02-23 14:36:22 -0800,"Indianapolis, Indiana; USA",Central Time (US & Canada)
2,568089179520954368,positive,United,,LocalKyle,,0,flew ord to miami and back and had great crew service on both leg thanks,,2015-02-18 08:46:29 -0800,Illinois,Central Time (US & Canada)
3,568928195581513728,negative,Southwest,,amccarthy19,,0,that is horse radish,,2015-02-20 16:20:26 -0800,,Atlantic Time (Canada)
4,568594180014014464,negative,United,,J_Okayy,,0,so our flight into ord wa delayed because of air force one but the last flight to sbn is at min from now we just landed,,2015-02-19 18:13:11 -0800,,Eastern Time (US & Canada)
5,569677636613439488,negative,United,,bobgiolito,,0,why did you load u in this flying sardine can if you knew the pilot were hour late flight incompetent beyond belief,,2015-02-22 17:58:27 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
6,569658903044218880,negative,Delta,,aaronkinnari,,0,that is a stock response delay not a frustrating a poor cust serv amp being told by ppl to wait amp they would come back but did not,,2015-02-22 16:44:00 -0800,Gotham,Quito
7,568542766860541952,positive,Delta,,TimothySays,,0,that would be nice hoping to rack up enough mile to take a trip to seattle and enjoy a perfect latte in the city of coffee,,2015-02-19 14:48:53 -0800,"Burlington, MA",Eastern Time (US & Canada)
8,570116209263427584,negative,United,,lindaSWC,,1,frankly worse customer service ever problem will happen how you deal defines a company never again united,,2015-02-23 23:01:11 -0800,,
9,568870144891600896,positive,Southwest,,amyums,,0,yeah haha never been in one it is expensive and we will so much fun destinationdragons,,2015-02-20 12:29:46 -0800,,Central Time (US & Canada)
10,567793635892174848,negative,Southwest,,Faultie,,0,mco gtca flight almost full of people screwed by the msy dca cancelled flightation and did not cancelled flight swa=mistake,"[38.73693556, -90.35367062]",2015-02-17 13:12:06 -0800,D.C.,
11,569879497891303424,neutral,Delta,,tonymbove,,0,what is the easiest way to get a ticket receipt can i get one at check in or can i get one online thanks,,2015-02-23 07:20:34 -0800,"Cambridge, MA",Quito
12,568517827482685440,positive,US Airways,,sherrylweir,,0,love the change in the lounge cheese veggie olive in addition to the cracker and snack mix,,2015-02-19 13:09:47 -0800,,Quito
13,568212893012860928,negative,Southwest,,Mselite25,,0,i receive bad customer service and ended up spending several hundred dollar to accommodate my family during each cxl flight,,2015-02-18 16:58:05 -0800,Rite behind my $$,Mountain Time (US & Canada)
14,569270187725160449,negative,US Airways,,KennethBracy,,0,you are killing me sche a flight to board min after mine arrived with gate on other side of airport genious,,2015-02-21 14:59:23 -0800,Where ever God puts me,
15,567816651900583936,negative,US Airways,,SyncSummit,,0,week to refund this ticket totally unacceptable fix this or i will put it on blast on social medium and tv,,2015-02-17 14:43:33 -0800,Where Music meets Visual Media,Eastern Time (US & Canada)
16,569690131235340288,negative,American,,Lioninflorida,,0,no private msg me and will provide detailsu really need customer svc training for your staff,,2015-02-22 18:48:06 -0800,"Fort Myers, Florida",Eastern Time (US & Canada)
17,569932678688055296,negative,Delta,,TheBuie,,22,can you not rt our fleet on fleek http tco gialyl,,2015-02-23 10:51:54 -0800,"Raleigh, NC",Eastern Time (US & Canada)
