index,type,statement
977,positive,  i think she was having a rough moment w  a bad passenger from an earlier flight things got considerably better thanks
295,negative, this is the line in denver to rebook due to weather issues do better httpskeptical_annoyed_undecided_uneasy_or_hesitant tco tmccexyaaq
351,negative,diverted and missed our connecting flight was just told that my bag is on it is way to msy if you only had people that cared
382,negative,right we are delayed so i am crabby happy_face_or_smiley also why do you allow one family member to purchase earlybird check in and hold rows
4727,positive,you guys continue to impress me in houston httpskeptical_annoyed_undecided_uneasy_or_hesitant tco cih1qnllcm
3148,positive,thanks for asking on second plane after maintenance issue for flight from ord to lit sitting at gate in very very warm plane
905,negative,only w  70 upgrade unsure why she can not just switch someone around i called 24 hrs in advance for this reason
762,positive,this would be an awesome experience destinationdragons
4138,positive,nothing but praise for you helping our lady make her flight to chs tonight impressed
17,negative,can you not rt our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco 413gial0yl
4041,positive,i love southwest and payton taylor
921,positive,it is okayim actually a tea kind of guy anyway thanks
878,negative,i did still have not heard a thing
3846,positive,hey at least you guys are honest with your customers unlike
649,negative,grouchy about this flight 636 complimentarybeveragesneeded
4840,positive,yes to more food add some gluten free options while you are at it
1453,negative,your customer service is a nightmare i have been on hold for 1 hour i am a platinum member with aa and feel like it is worthless
215,neutral,what about upgrades
631,neutral,i have never met my favorite band and it would be sooo amazing to win destination dragons
357,neutral,thanks bummer poor planning on my part i assume the card in passbook will not work either
565,negative,trying to check in for flight on line not working &amp agents too busy to take my call
388,negative,highly disappointed in the baggage service with this merge with you guys have lost our 1st bag and now missing items
931,negative,if it i have not rebooked did not get notified that it was cancelled flightled
3569,neutral,would a storage container like this green one be acceptable to check in with luggage 18gal totes httpskeptical_annoyed_undecided_uneasy_or_hesitant tco mjtk2sfuhg
2519,positive,shout out to diane at eyw for helping get us home today instead of tomorrow even if a little late flightconfusion
2878,positive,if i had my tux it would be a date umosaicmecrazy httpskeptical_annoyed_undecided_uneasy_or_hesitant tco hap4gbostu
2424,neutral,x__x rt  our fleets on fleek httpskeptical_annoyed_undecided_uneasy_or_hesitant tco xxppzo88j1
1597,negative,bag mia since wednesday still no word where it is or if we will ever see it again lostluggage frustrated
34,negative,we have 15 official complaints signed by americanairlines lima supervisor customer relations pls compensate 4 the 10 hour delay
3363,neutral,pres ceo gary kelly at therofo addressing 2000 of his bwi based employees httpskeptical_annoyed_undecided_uneasy_or_hesitant tco oi32uq2ttz
2306,positive,baggage check in and in flight crew the friendliest ever flight417 ogg to lax 
3726,neutral,do you have any sort of live chat feature we are in the uk right now and that call would cost us alot frown_sad_andry_or_pouting
4402,positive,getting sorted thanks
604,negative,8 hour delay pho mia your airline is bad and getting worse foolish for american to merge you treat your customers like crap
1480,positive,eyyyy cancelled flightlations flight booking problemss reflight booking problemss but you all got me on the same flight out tonight not tomorrowconfusion &amp the fc upgrade thx
1350,negative,flight 69 haconfusion   one employee said they were reassigned another said they just left i just want some warm weather
1134,negative,how to find out if my parents luggage really went to fll on a cancelled flighted sw flight called 1800iflyswa long long waits
2572,neutral,thanks will you guys be getting the a380s anytime soon
821,neutral,take me here
842,positive,safety first  lovejetblue
893,positive,sooo earlier i said i could not fly with you for my school trip but now i can
1517,positive,thanks for your great customer service today &amp for helping me get all my travel sorted out
4505,positive,could not be more thankful to your orf and dca crews on the ground and in the air today for help with a sick kid and a lost bag
923,negative,what is with your baggage handlers calling out at dfw today no luggage onboard the planes
1352,neutral,can you help me add my ktn to this reservation plz
1151,negative,i sent my details to the customer care link you sent me almost a month ago and no response
690,negative,are the miles going to be restructured help a silver status brotha out i thought i was winning with you guys until today lol
450,negative,i find it funny that responds but you do not your customer service is the worst wedontcarebecauseyoupaidalready
90,negative,yet another delay missed connectionand your customer service has an attitude with me wow
1578,negative,i can not choose a seat online because i booked on  smh
1028,neutral,what is the status of the bag check area at ffl
707,neutral,lax sunrise ual212 lax jfk
