Unnamed: 0,type,statement
3528,positive,got it all set thanks
1093,negative,according to your dm i am not owed a refund please may i be provided with a contact number before i go to my bank to file claim
3974,neutral,so the upcoming rr change deval is trying to tell me not to fly southwest anymore because i am loyal so far i get it
1997,positive,thanks for responding will do
466,negative,i will never fly u airway or american again and i will share this nightmare of a story to all the many others we know who fly
1944,neutral,followback so i can dm plz
1463,neutral,saturday this morning man dy from ebola http tco hxvvisvww
1453,negative,your customer service is a nightmare i have been on hold for hour i am a platinum member with aa and feel like it is worthless
1692,positive,big up the pilot of for turning hr on the tarmac to just a min delayed arrival
753,neutral,thank you but it say the website is down
23,negative,computer are down but you stopped giving update and took my flight info off the app that is just ridiculous keep people updated
4147,neutral,celebrates year anniversary with new livery digital journal http tco uhxricrx
539,positive,thank you for the jetblue credit nice save
1645,positive,i know that bar wish i wa there now
2931,neutral,thousand fan of are asking you to give her your utmost effort to get her a safe flight with her baggage soon
566,negative,what is going on with lga fllpoor to no communication from gate agent
909,negative,totally ruined my birthday weekend by cancelled flighting my flight for no reason and offer no point drink transport nolove cali
2932,neutral,hi on my dividend mile account i accidentally listed my newly married name a opposed to my legal name i am trying to book
844,negative,can not unload flight because jetway is broken step planb waiting nearly an hour
3935,positive,hawaii get me somewhere warm amp i can find some good to do flyitforward
1938,positive,so happy that you can finally put your southwestairlines boarding pas into passbook make life so much easier
1395,negative,how the heck doe one get the internet desk to authorize a waiver would that involved being on hold for another hour
1019,neutral,we have already made other arrangement ourselves
1397,negative,i want to speak with someone immediately i am shaking with rage i offered to hate check my bag and derrick bussey treated me
2379,positive,so glad to hear thanks for sharing the video me and jetblue are bff
1464,neutral,found the flight on
1764,neutral,thanks what is your opinion on chance of getting in okay tomorrow
5096,positive,the new logo is going to look amazing on the airplane
5143,positive,plus you have added commercial to the experience tacky
699,negative,tried them not helpful really dissatisfied with flight booking problem my whole trip with jet blue this time around besides the flight
1191,negative,stated before i am not getting any help there tk over hr yest to spk to a live person then told to chk the site
4698,positive,hour and degree difference yes please mht to mco http tco mrawqdwd
1427,positive,no problem thing worked out at airport thanks
1610,neutral,i would like to know if it possiable to checkin online or must it be done at schiphol
4569,neutral,second from touchdown at madrid airport in april avgeek http tco ywxrfngr
3179,positive,thank you for a couple of easy hassle free flight today professional and friendly staff made everything easy
574,negative,in the future when delay cause hour wait slept night in airport ensuring seating choice for replacement flight would be good
1245,positive,ok thank you very helpful this is why you are my favorite airline
6001,positive,thanks for making new direct flight to san francisco
1234,positive,another great flight amp crew la vega chicago thanks
4099,neutral,his name is enzo rt well hello there pooch what is your name dog http tco dlhhbg
1131,negative,you are the worst airline ever figure out the merger dontmakemegooutside
1187,neutral,no i need the corporate office number please a that is who is dealing with this for me it is a number
2248,neutral,plan to repair it brand http tco uimypzh via
4050,neutral,i would like to apologize to the gate agent for flight aa i wa not aware that zone wa after the nine other precious gem
2861,neutral,can someone help me with some travel issue today
3010,neutral,only guest need to change a flight on a reservation of how can i do it i need this to happen say it canplease help
1899,positive,thank you for your kindness your agent went above amp beyond to get my stranded family home
5368,positive,he is so excellent and so reliable happycustomer
4884,positive,i just want shout out a thank the pilot and staff on the feb flight from newark to boston at m they were super helpful
2185,neutral,i know where you guy jet lol but if you love me so much help a brother out hot weather great nightlife hour flight
1903,positive,thanks it is very helpful to understand that the reduced price seat that are sold at check in have priority over the certificate
5021,positive,hi just wanted to see if you have any new route planned this year for newark love flying you guy and hope to do so more
