Unnamed: 0,statement,type
543,the end of 2014   2016  was my worst yrs emoji face with tears of joy i was really in a depression,NEGATIVE
1273,woman strive 2b treated a equal not just housewife you all counter w shopping boycott dumbass,SARCASM
1327,i just tweeted the prior note a home away commercial come on,SARCASM
1152,it wa just a bit of based on today news regarding rkg funding imho we should have greater aspiration,SARCASM
247,i have finished the eat me drink me badges     &gt &lt     look here,POSITIVE
389,well i won the 50 dollar 6 handed tourney yesterday so it is all good,POSITIVE
1367,you seem like someone who doe not smile enough especially when told to do so,SARCASM
488,walking home from school and i look like a loner funny day at school today,POSITIVE
1117,but in my case the device failed to resist water when it wa taken in pool for the first time,SARCASM
1364,i agree user rating number are a shamble i sent an email to you on my new phone so not sure it even went through possibly,SARCASM
1191,a we all know liberal and democrat are time traveling warlock that feast on baby for their power so it make sense that we would not be able to see them on the video yep,SARCASM
123,according to the rosters this hockey season will not be so bad after all hah,POSITIVE
256,omg i fixed my ipod,POSITIVE
1332,and what would a big issue seller have against socialism and empathy,SARCASM
1056,i wa invited by the ministry of tourism,SARCASM
515,depression,NEGATIVE
1079,awesome customer service told i would have a response in 72 hour and when that didn t happen wa asked to provide info and over 24 hour after that still have 0 acknowledgment,SARCASM
243,happy easter  everyone,POSITIVE
336,nice choice anyway i thought maybe you were the artist,POSITIVE
171,can i come i could use a nice decadent party,POSITIVE
711,natural l theanine for anxiety panic attacks and depression   pictwittercom yorrlwkkuz,NEGATIVE
715,100 behind this amazing campaign fast food and laziness is killing us all  not only costing millions of nhs money but stopping people from feeling great about them selves and possibly one of the main reasons there is so much depression negative food,NEGATIVE
1242,thanks sweetie i am from salem area you you were so funny we have similar personality got to love it,SARCASM
818,hi there emoji waving hand sign medium dark skin toneemoji waving hand sign medium dark skin toneemoji waving hand sign medium dark skin tone my name is yasmin are you struggling with disappointment depression suicidal thoughts anger or do you feel lost and left behind in life i have also been in situations in which i needed someone to talk to you can definitely talk to me dm me,NEGATIVE
279,on the road to my wifes 1st triathlon if i do not update in 6 hrs call the paramedics,POSITIVE
840,i added a video to a playlist how barbara bushs battle with depression shaped her life,NEGATIVE
571,my new hyper fixation is janelle mone i love depression,NEGATIVE
855,i read some of that feed sorry for that i have had depression but her behavior switched up very quickly nothing but love emoji heavy red heartemoji heavy red heartemoji heavy red heartemoji heavy red heart,NEGATIVE
662,check out these mckee depression glass salt & pepper shakers delphite blue s&ps aluminum lids,NEGATIVE
1400,til they go to walmart all their food good cost more they do not make more money at work karma,SARCASM
1365,wow social team is just amazing so responsive to their customer really make me want to go out and spend another 700 on a suitcase that may or may not make it all the way to my destination in one piece missed opportunity wtf,SARCASM
831,exercising regularly cuts risk of depression by 16 study suggests def worth a read pictwittercom ot9aykfht3,NEGATIVE
887,i love the overwhelming omnipresent feeling of depression that permeates every sun blocked filthy street corner and the subtle yet inescapable ass smell of everywhere south of bloor,NEGATIVE
1413,just give the max yearly amount and they will stop calling,SARCASM
