,statement,type
0,seeing your worker time in and time out going above and beyond is why i love flying with you guy thank you,POSITIVE
1,flew ord to miami and back and had great crew service on both leg thanks,POSITIVE
2,that would be nice hoping to rack up enough mile to take a trip to seattle and enjoy a perfect latte in the city of coffee,POSITIVE
3,yeah haha never been in one it is expensive and we will so much fun destinationdragons,POSITIVE
4,love the change in the lounge cheese veggie olive in addition to the cracker and snack mix,POSITIVE
5,good fly united businessfirst,POSITIVE
6,jason at gate in san made my afternoon southwestairlines stellarservice thanks,POSITIVE
7,everything for sorted out thanks for the help excited to get home tonight,POSITIVE
8,and thanks,POSITIVE
9,oh that totally look on par with s admiral club any way you can slide you a couple pass,POSITIVE
10,i am impressed with your super fast reply to,POSITIVE
11,your blue helped bring out the color of my eye and i promise i did not eat all the free snack,POSITIVE
12,yes y from on instagram,POSITIVE
13,thanks so much for help you you r amazing,POSITIVE
14,thank you,POSITIVE
15,what a great first night destinationdragons http tco nlrfouay,POSITIVE
16,right on up up amp away,POSITIVE
17,lmfaooo our fleet on fleek http tco grnmyuqe,POSITIVE
18,finally called can not get met seattle so refund will be processed thanks,POSITIVE
19,this is unbelievable thank you so much destinationdragons,POSITIVE
20,i left my comment with customer care thanks for contacting me,POSITIVE
21,they held the plane made it,POSITIVE
22,learning about your awesome twitter management today in my social medium marketing class keep up the good work,POSITIVE
23,great looking forward to your response to my dm then,POSITIVE
24,cutest salt and pepper shaker ever just when i think you guy can not get any better you just do http tco vckeulgj,POSITIVE
25,continues to win i have never missed a flight before but a nice little quiet gate change made it possible sheesh,POSITIVE
26,keep the flight cheap and early on time and you are good flew and cancelled flightled my flight time last month united gt,POSITIVE
27,made it send bloody mary to row,POSITIVE
28,thank you for your empathy there is more to this story than just the luggage but thank you for reaching out,POSITIVE
29,thanks jb actually a a birder i love them too they just need to be outside it should not be too hard to trap and move them,POSITIVE
30,thanks for prompt response another hour to enjoy vacation perhaps a bug in the app a it still show,POSITIVE
31,thanks i will catch my conection,POSITIVE
32,i am all about the in flight artisanal cheese and wine pairing,POSITIVE
33,i would do anything for ticket to the vega anything i love imagine dragon so much,POSITIVE
34,thanks for your attention i have been flying southwest for year and have not had this issue in the past,POSITIVE
35,i love and appreciate the fact that you guy rarely cancelled flight flight and are on time but i need a cancelled flightlation this time,POSITIVE
36,all good man it is not your fault that plane is having maintenance issue,POSITIVE
37,thanks her th bday is saturday we are having an aviation themed surprise party for her,POSITIVE
38,airway reveals bluemanity livery travelpulse http tco fttfyfmvco,POSITIVE
39,thankful for great service in newark seat fixed and i wa seated with my daughter fab landing in fort myers,POSITIVE
40,you guy did an amazing job today know it hard thanks to kate appleton for all her hard work reflight booking problem my friend and me,POSITIVE
41,your employee were great,POSITIVE
42,kudos and we are done and heading to warmer weather,POSITIVE
43,fantastic thanks will try and tweet a photo of the view,POSITIVE
44,i love my companion pas qualified th year hollymais,POSITIVE
45,thanks confirmation number just dmed appreciate any help,POSITIVE
46,you know it need it on my spotify stat guiltypleasures,POSITIVE
47,just did thanks for checking,POSITIVE
48,you guy continue to impress your crew mco gate helped our family with seat issue professional,POSITIVE
49,i continue to be amazed by the amazing customer service thank you swa,POSITIVE
50,thank you thankful feelingtheluv,POSITIVE
51,thanks it would be better from the gate agent at c in charlotte boarding flight,POSITIVE
52,it always a pleasure,POSITIVE
53,just received it actually thank you,POSITIVE
54,the staff wa rather efficient and got you solution just freaked me out a little being in limbo in the air,POSITIVE
55,much respect,POSITIVE
56,really easy for local to get down to the strip book,POSITIVE
57,ok have sent you info via dm i appreciate your help and consideration,POSITIVE
58,thank you,POSITIVE
59,thanks for the effort i can get the earliest though i will make a complaint for a refund a i am losing one business day tomorrow,POSITIVE
60,thank you but the person in houston could only get me a flight routing through newark nj and i am going to sfo,POSITIVE
61,thx to customer service rep alex for his patient help in reflight booking problem a cancelled flighted flight and getting you where we have to be tmrw,POSITIVE
62,thank you thank you thank you my last attempt to win destinationdragons ticket wa a success i could not be happier,POSITIVE
63,thanks for the opportunity,POSITIVE
64,our fleet on fleek http tco gsnqsqz no you all better than this,POSITIVE
65,that is great thank you,POSITIVE
66,please thank mellie at cae tammy in baggage claim at clt excellent customer service day but i have a complaint,POSITIVE
67,thanks for your helpgot me what i need but it an issue with i guess i sit awhile longer,POSITIVE
68,thank you been trying for two day to set this up,POSITIVE
69,you guy held our flight thank you about to take off from mdw now to oakland thanks,POSITIVE
70,thank you,POSITIVE
71,success made flight please thank the crew of great time recovery,POSITIVE
72,dude named shaquille at the desk in charlotte wa incredibly professional and helpful v some crazy angry people tonight,POSITIVE
73,kudos for adding passbook to your app i love it,POSITIVE
74,thank you will do you guy are awesome,POSITIVE
75,is definitely my new favorite airline,POSITIVE
76,although it wa not totally the answer i wa looking for i appreciate the prompt response,POSITIVE
77,airport snow removal method keep up the good work folk this is where cessnas become s http tco vtmusjvu,POSITIVE
78,your beautiful front end design is down right now but it wa cool to still book my ticket b c all your back end wa secure,POSITIVE
79,annnndddd i just booked my flight that wa easy,POSITIVE
80,thanks i actually made it my connection flight wa delayed guess all delay are not a bad thing http tco xggcntcom,POSITIVE
81,flight ua gate b and tell ray i somehow made it on to the flight out of iah and did not have to wait for the one,POSITIVE
82,flying with you in about week bringing blanket bc it is freezing,POSITIVE
83,great flight into pvd smallest plane i have ever been on and smoothest landing ever,POSITIVE
84,good news we got fixed,POSITIVE
85,thank you i am excited to fly with you for the first time,POSITIVE
86,yes thanks so much we see you spoke with our reservation team and they have reinstated the flight thanks ey,POSITIVE
87,joni did a great job on flight to lax thanks for a great flight,POSITIVE
88,it wa booked through work but added upgrade on seat need the upgrade receipt,POSITIVE
89,thanks so much just had to make a cancelled flightlation i have sent you the info,POSITIVE
90,thank you for the jetblue credit nice save,POSITIVE
91,thank you for your help resolving my problem shannon rock even though rhonda did not,POSITIVE
92,thanks,POSITIVE
93,me amp are best friend because of any chance we could get ticket to destinationdragons,POSITIVE
94,i still think american airline is greati would just like to be treated better loyal customer first right,POSITIVE
95,we have a hot female pilot sweet dca to sfo,POSITIVE
96,i would prefer a similar picture but full of e tail but great shot,POSITIVE
97,sfo natt the agent who helped me really did an awesome job,POSITIVE
